freq,prev,p.freq,p.prev,p,contaminant
8.374561161845286e-5,11,NA,0.9599398737225349,0.9599398737225349,FALSE
7.755852155200329e-6,4,NA,0.7853745917008959,0.7853745917008959,FALSE
6.384223119564804e-4,21,NA,0.9980660618147387,0.9980660618147387,FALSE
9.797639552678968e-7,1,NA,NA,NA,FALSE
3.1777809555587334e-6,1,NA,NA,NA,FALSE
1.5888904777793667e-6,1,NA,NA,NA,FALSE
1.6705925591807415e-6,1,NA,NA,NA,FALSE
9.797639552678968e-7,1,NA,NA,NA,FALSE
9.06393153468676e-7,1,NA,NA,NA,FALSE
3.1777809555587334e-6,1,NA,NA,NA,FALSE
2.441298340707232e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
4.836861428018472e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
9.797639552678968e-7,1,NA,NA,NA,FALSE
3.5015819211567305e-5,2,NA,0.6694619147449337,0.6694619147449337,FALSE
5.496251007187997e-7,1,NA,NA,NA,FALSE
3.970954618240815e-5,4,NA,0.7853745917008959,0.7853745917008959,FALSE
9.797639552678968e-7,1,NA,NA,NA,FALSE
2.018183270307897e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
1.6705925591807415e-6,1,NA,NA,NA,FALSE
5.496251007187997e-7,1,NA,NA,NA,FALSE
9.083621913823124e-5,13,NA,0.9765761387879274,0.9765761387879274,FALSE
4.65448022540587e-4,23,NA,0.9990733212862289,0.9990733212862289,FALSE
5.496251007187997e-7,1,NA,NA,NA,FALSE
6.412666175950713e-5,9,NA,0.9333453361097638,0.9333453361097638,FALSE
1.0515757462765467e-5,4,NA,0.7853745917008959,0.7853745917008959,FALSE
9.06393153468676e-7,1,NA,NA,NA,FALSE
3.548477239234297e-5,8,NA,0.9148301516958093,0.9148301516958093,FALSE
4.528597475259781e-5,14,NA,0.9822892756689207,0.9822892756689207,FALSE
7.5433868488805e-5,11,NA,0.9599398737225349,0.9599398737225349,FALSE
0,0,NA,NA,NA,FALSE
1.7145794684992784e-5,7,NA,0.8918112737757578,0.8918112737757578,FALSE
5.496251007187997e-7,1,NA,NA,NA,FALSE
6.122159510747693e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
0.0011502064294025025,15,NA,0.9867169567516905,0.9867169567516905,FALSE
4.9860782086504866e-5,4,NA,0.7853745917008959,0.7853745917008959,FALSE
1.5888904777793667e-6,1,NA,NA,NA,FALSE
1.5888904777793667e-6,1,NA,NA,NA,FALSE
8.427264774181601e-6,6,NA,0.8633405563483255,0.8633405563483255,FALSE
3.033956300527593e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
4.109102578829792e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
